PartitionKey,RowKey,Timestamp,Company,Company@type,DisplayName,DisplayName@type,GUID,GUID@type,Token,Token@type
PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,136,2018-07-01T10:34:14.782Z,Margarida Prozil Vieita,Edm.String,Play Axis (Dynamic Slicer),Edm.String,PBI_CV_16948668_E17D_454B_8664_2F2C470EA8C1,Edm.String,Margarida Prozil Vieita,Edm.String
PBI_CV_25997FEB_F466_44FA_B562_AC4063283C4C,164,2018-07-01T10:34:14.783Z,OKViz,Edm.String,Sparkline by OkViz,Edm.String,PBI_CV_25997FEB_F466_44FA_B562_AC4063283C4C,Edm.String,OKViz,Edm.String
PBI_CV_309E6B47_39A5_4681_808F_132AFB230860,94,2018-07-01T10:34:14.785Z,MAQ LLC,Edm.String,Grid by MAQ Software,Edm.String,PBI_CV_309E6B47_39A5_4681_808F_132AFB230860,Edm.String,MAQ LLC,Edm.String
PBI_CV_309E6B47_39A5_4681_808F_132AFB230872,178,2018-07-01T10:34:14.821Z,MAQ LLC,Edm.String,Thermometer by MAQ Software,Edm.String,PBI_CV_309E6B47_39A5_4681_808F_132AFB230872,Edm.String,MAQ LLC,Edm.String
PBI_CV_32852E50B30D4D70ACC1C55C87F71ED0,5,2018-07-01T10:34:14.783Z,Managility,Edm.String,Agility Planning Matrix Light,Edm.String,PBI_CV_32852E50B30D4D70ACC1C55C87F71ED0,Edm.String,Managility,Edm.String
PBI_CV_3C80B1F2_09AF_4123_8E99_C3CBC46B23E0,63,2018-07-01T10:34:14.791Z,Microsoft,Edm.String,Dual KPI,Edm.String,PBI_CV_3C80B1F2_09AF_4123_8E99_C3CBC46B23E0,Edm.String,Microsoft,Edm.String
PBI_CV_3EEA6E26_A754_4ECA_BE51_C93859851FB2,9,2018-07-01T10:34:14.791Z,Microsoft,Edm.String,Association rules,Edm.String,PBI_CV_3EEA6E26_A754_4ECA_BE51_C93859851FB2,Edm.String,Microsoft,Edm.String
PBI_CV_522F2011_DD5A_44D2_A8ED_456F3931DF77,44,2018-07-01T10:34:14.834Z,SnagR Software Ltd,Edm.String,CrossTab by SnagR ,Edm.String,PBI_CV_522F2011_DD5A_44D2_A8ED_456F3931DF77,Edm.String,SnagR Software Ltd,Edm.String
PBI_CV_658497A5_7E34_4F94_A51F_4E2213BB9051,157,2018-07-01T10:34:14.829Z,Frank Thomson ,Edm.String,ScheduleView,Edm.String,PBI_CV_658497A5_7E34_4F94_A51F_4E2213BB9051,Edm.String,Frank Thomson ,Edm.String
PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,113,2018-07-01T10:34:14.835Z,Microsoft,Edm.String,Infographic Designer,Edm.String,PBI_CV_73744D90_4DC9_4F18_8BA5_EE8FA5C98035,Edm.String,Microsoft,Edm.String
PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,27,2018-07-01T10:34:14.796Z,OKViz,Edm.String,Card with States by OKViz,Edm.String,PBI_CV_7B952816_A48F_49B4_9E13_15E3BB2C0337,Edm.String,OKViz,Edm.String
PBI_CV_7BD71041_0FDE_423E_BAB2_9804ACC742E8_HTML,36,2018-07-01T10:34:14.800Z,Microsoft,Edm.String,Clustering,Edm.String,PBI_CV_7BD71041_0FDE_423E_BAB2_9804ACC742E8_HTML,Edm.String,Microsoft,Edm.String
PBI_CV_7C9E2F85_7EFC_44EF_8632_1D27FE76F639,126,2018-07-01T10:34:14.803Z,Luke Kubat,Edm.String,Measure Slicer,Edm.String,PBI_CV_7C9E2F85_7EFC_44EF_8632_1D27FE76F639,Edm.String,Luke Kubat,Edm.String
PBI_CV_807533A8_7DBB_41E8_AF46_0450D3447E61,51,2018-07-01T10:34:14.809Z,Microsoft,Edm.String,Decision Tree Chart,Edm.String,PBI_CV_807533A8_7DBB_41E8_AF46_0450D3447E61,Edm.String,Microsoft,Edm.String
PBI_CV_815282F9_27F5_4950_9430_E910E0A8DB6A,172,2018-07-01T10:34:14.839Z,OKViz,Edm.String,Synoptic Panel by OKViz,Edm.String,PBI_CV_815282F9_27F5_4950_9430_E910E0A8DB6A,Edm.String,OKViz,Edm.String
PBI_CV_885EF3C3_31C1_4745_B2B9_20771D5AD196,108,2018-07-01T10:34:14.847Z,CloudScope,Edm.String,Image by CloudScope,Edm.String,PBI_CV_885EF3C3_31C1_4745_B2B9_20771D5AD196,Edm.String,CloudScope,Edm.String
PBI_CV_886A053E_9DFD_4EA0_A47D_CCAEB89AF969,25,2018-07-01T10:34:14.849Z,OKViz,Edm.String,Candlestick by OkViz,Edm.String,PBI_CV_886A053E_9DFD_4EA0_A47D_CCAEB89AF969,Edm.String,OKViz,Edm.String
PBI_CV_8EDDC07B_EE79_4418_A84C_D73897C0E21F_HTML_work,181,2018-07-01T10:34:14.844Z,Microsoft,Edm.String,Time Series Forecasting Chart,Edm.String,PBI_CV_8EDDC07B_EE79_4418_A84C_D73897C0E21F_HTML_work,Edm.String,Microsoft,Edm.String
PBI_CV_8EDDC07B_TBATS,83,2018-07-01T10:34:14.812Z,Microsoft,Edm.String,Forecasting TBATS,Edm.String,PBI_CV_8EDDC07B_TBATS,Edm.String,Microsoft,Edm.String
PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13C,166,2018-07-01T10:34:14.847Z,Microsoft,Edm.String,Stars,Edm.String,PBI_CV_9053509D_D461_463A_B485_CE9F6AB0F13C,Edm.String,Microsoft,Edm.String
